ID,Карточка (как звучит),Когда,Тип,ДА — последствия (механика),ДА — Δшкалы,НЕТ — последствия (механика),НЕТ — Δшкалы,Ведущий (ДА),Ведущий (НЕТ),Некролог ДА,Некролог НЕТ,Флаги,Длительный эффект,Тон
LT09,Дом во дворе ещё стоит. Раскопать клад?,"70+, если CH16 = ДА",Событие,"В банке записка: «Привет. Ты уже взрослый? Надеюсь, ты не скучный.»",—,Нет последствий (банка остаётся в земле),—,"Ну-ка, ну-ка!",Пусть лежит!,На старости раскопали свою детскую записку — и долго потом молчали.,Банку во дворе так и не откопали.,TIMELINE,—,bitter
LT10,Сидеть с внуками каждые выходные?,"58–75, если MD02=ДА",Сцена,"Каждую субботу, без выходных","Эн −18, Отн +12","Раз в месяц, и хватит","Эн +8, Отн −12",Бабушка года!,Свои выходные!,"С внуками сидели каждые выходные, пока были силы.",С внуками виделись по праздникам.,,—,warm
LT11,"Дать детям на квартиру всё, что осталось?","58–75, если MD02=ДА",Развилка,Отдал всё; себе не осталось,"Дн −120, Отн +12",Оставил себе на старость,Отн −5,Щедрость!,Себе тоже надо!,"Всё, что скопили, отдали детям на квартиру.",Накопленное оставили себе — на старость.,BLOCK$,—,
LT12,"Не лезть с советами, даже когда всё очевидно?","58–80, если MD02=ДА",Развилка,"Молчишь и смотришь, как они сами","Отн +12, Эн −8",Говоришь как надо жить,Отн −12,Мудрость!,Учим жить!,"Советов не давали, даже когда очень хотелось.",Учили детей жить до самого конца.,,—,bitter
LT13,Переписать квартиру на детей сейчас?,"65–85, если MD02=ДА",Развилка,"Бумаги оформлены, вопрос закрыт",Отн +5,Пусть будет как будет,—,Практично!,Потом!,"Квартиру переписали заранее, чтобы потом не делили.","Квартиру не переписали, и потом делили.",,—,
LT14,"Сказать взрослому ребёнку, что гордишься им?","58–90, если MD02=ДА",Сцена,Сказал вслух; оба неловко молчали,Отн +12,Он и так знает,Отн −5,Наконец-то!,И так знает!,"Своему ребёнку однажды сказали вслух, что гордятся.","Что гордились, вслух так и не сказали.",,—,warm
LT15,Купить слуховой аппарат?,65–90,Сцена,"Снова слышишь, что говорят за столом","Дн −40, Отн +12",Переспрашиваешь и киваешь,Отн −12,Слышим!,Что-что?,Слуховой аппарат купили и снова слышали внуков.,"Слуховой аппарат покупать не стали, просто кивали.",BLOCK$,—,warm
LT16,Отдать ключи от машины?,70–90,Развилка,Больше не за рулём; зато все целы,"Эн −8, Здр +15",Ездишь дальше,Здр −15,Мудро!,Ещё поводим!,"Ключи от машины отдали сами, не дожидаясь беды.",За руль садились до последнего.,,—,
LT17,"Взять палочку, за которую стыдно?",68–90,Развилка,"Ходишь медленнее, но не падаешь","Здр +15, Эн +8",Ходишь без,Здр −15,Разумно!,Мы ещё бодры!,Палочку взяли вовремя и ни разу не упали.,Палочку не брали — и однажды упали.,,—,
LT18,Зарядка в семь утра каждый день?,58–85,Хобби,"Пятнадцать минут, каждый день, годами","Здр +15, Эн −8",Спишь дольше,—,Дисциплина!,Поспим!,"Зарядку делали каждое утро в семь, годами.",Зарядку не делали ни разу.,,—,warm
LT19,«Это просто возраст». Согласиться и не проверяться?,60–90,Соблазн,Не проверяешься; оно растёт само,Здр −30,Идёшь проверяться,"Дн −30, Здр +15",Ну-ну.,Молодец!,Всё списывали на возраст и не проверялись.,На возраст не списывали — проверялись.,,—,risky
LT20,Ещё один друг ушёл. Поехать на похороны через полстраны?,65–95,Сцена,"Поезд, зал, старые лица","Дн −40, Эн −18, Отн +5",Позвонил и не поехал,Отн −12,Проводили!,Далеко!,"На похороны друзей ездили через полстраны, пока могли.",На похороны друзей уже не ездили.,BLOCK$,—,bitter
LT21,"Научиться видеозвонкам, чтобы видеть внуков?",62–85,Сцена,"Два вечера с инструкцией, потом получилось","Эн −8, Отн +12",Хватит и телефона,Отн −12,Технологии!,По телефону!,"Видеозвонкам научились специально, чтобы видеть внуков.",Видеозвонками так и не овладели.,,—,warm
LT22,Завести собаку в семьдесят?,68–85,Развилка,Гулять надо в любую погоду — и это спасает,"Дн −40, Эн −8, Отн +12, Здр +7",Слишком поздно заводить,—,Компания!,Поздно!,"В семьдесят завели собаку, и она вытащила гулять каждый день.",Собаку в старости заводить не стали.,BLOCK$,—,warm
LT23,Разговаривать с кассиршей просто чтобы поговорить?,70–100,Кек,"Очередь ждёт, вам хорошо",Отн +5,Молча платишь и уходишь,—,Общение!,Быстро!,"С кассиршами разговаривали дольше, чем нужно.",В магазине не разговаривали ни с кем.,ROND,—,bitter
LT24,"Пойти в клуб для пожилых, где все чужие?",62–85,Сцена,"Первый раз ужасно, потом ничего","Дн −20, Отн +12, Эн −8",Дома спокойнее,Отн −5,Молодец!,Дома лучше!,В клуб для пожилых всё-таки пошли и там прижились.,В клуб для пожилых так и не пошли.,BLOCK$,—,warm
LT25,Написать завещание по-настоящему?,70–95,Сцена,"Нотариус, список, подпись","Дн −25, Эн +8",Пусть сами разберутся,—,Порядок!,Разберутся!,Завещание написали и всё расписали до мелочей.,Завещания не оставили — разбирались сами.,BLOCK$,—,
LT26,"Разобрать все фотографии и подписать, кто на них?",68–95,Сцена,"Три недели, коробки, имена на обороте",Эн −18,Пусть лежат как лежат,—,Летописец!,Пусть лежат!,Все фотографии подписали — кто на них и в каком году.,"Фотографии остались лежать неподписанными, и потом никто не узнал лиц.",,—,bitter
LT27,"Отдать свои вещи, пока сам можешь выбрать кому?",72–95,Сцена,"Каждому своё, при жизни, из рук в руки","Отн +12, Эн −8",Потом сами поделят,—,Мудро!,Успеется!,Свои вещи раздали сами и каждому объяснили почему.,Вещи делили уже без них.,,—,warm
LT28,"Рассказать внуку то, что не рассказывал никому?",70–100,Сцена,"Один вечер, который он запомнит навсегда","Отн +12, Эн −8",Унести с собой,—,История!,Наше дело!,"Внуку рассказали то, что не рассказывали никому.",Своё главное унесли с собой.,,—,bitter
LT29,"Посадить дерево, под которым не посидишь?",65–95,Сцена,"Яма, саженец, лейка","Дн −20, Эн −8","Зачем, если не увидишь",—,Для потомков!,Не увижу!,"Посадили дерево, под которым сами уже не посидели.",Дерева не посадили — какой смысл.,BLOCK$,—,warm
MD08,"Сыграть свадьбу на все деньги, как у людей?","28–32, до MD01, если Отн открыта",Соблазн,"Зал, тамада, сто человек","Дн −80, Отн +12",Расписались вдвоём и пошли есть пиццу,Отн −5,Как у людей!,Скромно!,"Свадьбу сыграли на все деньги, и её до сих пор вспоминают.",Расписались вдвоём и в тот же день ели пиццу.,BLOCK$,—,risky
MD09,Подписать брачный договор?,"28–32, до MD01, если Отн открыта",Развилка,Бумаги подписаны; при разводе деньги целы,Отн −12,Верим на слово,—,Практично!,На доверии!,"Брачный договор подписали, и это долго припоминали.",Брачного договора не подписывали — верили на слово.,PRENUP,—,risky
MD10,"Позвать на свадьбу отца, с которым не говоришь?","28–32, если Отн открыта",Сцена,Пришёл; разговор так и не случился,"Отн +5, Здр −7",Не позвал,Отн −5,Семья!,Без него!,"Отца на свадьбу позвали, хотя и не разговаривали.",Отца на свадьбу не позвали.,,—,bitter
MD11,Взять его фамилию?,"свадьба +0, если в браке",Сцена,Документы меняются полгода,Отн +5,Осталась своя,—,Единство!,Своя!,Фамилию сменили и полгода меняли документы.,Фамилию оставили свою.,ROND,—,warm
MD12,Первая годовщина — отмечать или забыть?,"свадьба +1, если в браке",Сцена,"Ресторан, цветы, вспомнили оба","Дн −25, Отн +12",Вспомнили через неделю,Отн −12,Романтика!,Забыли!,"Первую годовщину отметили, и обоим было приятно.",Про первую годовщину вспомнили через неделю.,BLOCK$,—,warm
MD13,Решить твёрдо: детей не будет?,"свадьба +2, вместо/до MD02",Развилка,Шкала ребёнка не откроется никогда; денег остаётся заметно больше,Отн −5,Вопрос остаётся открытым,—,Решено!,Посмотрим!,"Решили твёрдо, что детей не будет, и не передумали.",Вопрос о детях так и оставили открытым.,"TIMELINE, EXCL:реб",MULT:Дн=x1.3,
MD14,Родственники за столом: «а когда детей?» Ответить честно?,28–40,Сцена,Стол замолкает; зато больше не спрашивают,"Отн +5, Здр −7",Отшутился в двадцатый раз,—,Прямота!,Шутник!,"Родне однажды ответили честно, и спрашивать перестали.",На вопрос о детях отшучивались двадцать лет подряд.,,—,bitter
MD15,Друзья зовут в гости со своими тремя. Идти?,30–40,Сцена,"Шумно, липко, четыре часа","Здр −7, Отн +5",Остались дома вдвоём,Отн −5,Крёстный!,Тишина!,В гостях у друзей с детьми бывали и уходили вымотанными.,В гости к друзьям с детьми ездить перестали.,,—,warm
MD16,Взять на выходные племянника — потренироваться?,25–35,Сцена,"Двое суток, и всё стало понятно","Эн −18, Отн +5",Выходные свои,—,Репетиция!,Не сегодня!,Племянника брали на выходные и всё про себя поняли.,Чужих детей на выходные не брали.,,—,absurd
MD17,Записаться на танцы в сорок пять?,43–52,Хобби,"Абонемент, неловкость, потом весело","Дн −30, Эн +18, Здр +7",Танцуешь на кухне,—,Огонь!,На кухне!,В сорок пять пошли танцевать и не бросили.,Танцевать так и не пошли.,BLOCK$,—,warm
MD18,"Купить мотоцикл всерьёз, не сгоряча?",43–52,Соблазн,"Шлем, курсы, гараж","Дн −80, Эн +18, Отн −12",Смотришь видео о мотоциклах,—,Байкер!,Смотрим!,Мотоцикл купили в сорок пять и катались до шестидесяти.,Мотоцикл так и остался в закладках.,BLOCK$,—,risky
MD19,"Красная куртка, над которой смеются дети?",42–55,Кек,"Куртка куплена, дети в ужасе","Дн −25, Эн +8, Отн −5",Носишь что положено,—,Ярко!,Прилично!,"Носили красную куртку, над которой смеялись собственные дети.",Одевались как положено в этом возрасте.,"BLOCK$, ROND",—,absurd
MD20,Начать выкладывать себя в сорок пять?,43–55,Хобби,"Камера, свет, три подписчика",Эн −8,Не позоришься,—,Блогер!,Разумно!,"В сорок пять завели канал, где было три подписчика.",Себя в интернет не выкладывали.,ROND,—,absurd
MD21,Учить гитару с нуля?,42–55,Хобби,"Гитара, мозоли, три аккорда","Дн −25, Эн +8",Слушаешь чужую,—,Маэстро!,Слушаем!,Гитару выучили на три аккорда и играли их всю оставшуюся жизнь.,Гитару так и не взяли в руки.,BLOCK$,—,warm
MD22,Спим в разных комнатах. Сказать об этом вслух?,"40–55, если MD01=ДА и в браке",Сцена,"Разговор тяжёлый, но случился",Отн +12,Так и молчите,Отн −12,Честно!,Молчим!,Про разные комнаты однажды заговорили вслух.,Про разные комнаты не говорили никогда.,,—,bitter
MD23,Пойти к семейному терапевту?,"40–55, если MD01=ДА и в браке",Сцена,"Десять сеансов, что-то сдвинулось","Дн −50, Отн +12",Сами разберёмся,Отн −12,Взрослые!,Сами!,К семейному терапевту всё-таки сходили.,К терапевту не пошли — сами разберёмся.,BLOCK$,—,warm
MD24,Потерпеть ради ребёнка?,"40–55, если MD01=ДА и в браке",Развилка,Остаётесь вместе; отношения на грани,"Отн → 42, Эн −18",Развод,—,Ради семьи!,Свобода!,"Ради ребёнка терпели, и он всё равно всё понял.","Развелись, не дожидаясь, пока станет хуже.","ZONE, НЕТ:BREAK:Отн",—,bitter
MD25,Уехать в отпуск порознь?,"40–55, если MD01=ДА и в браке",Сцена,Две недели тишины каждому,"Эн +18, Отн −12","Едете вместе, как всегда","Отн +5, Эн −8",Отдых!,Вместе!,"Отпуска стали проводить порознь, и обоим полегчало.",Отпуска всегда проводили вдвоём.,,—,bitter
MD26,Молчание за ужином стало нормой. Начать разговор?,"40–55, если MD01=ДА и в браке",Сцена,"Неловко минуту, потом легче","Отн +12, Эн −8",Доедаете молча,Отн −12,Смелый!,Приятного!,Молчание за ужином однажды прервали.,Ужинали молча последние лет двадцать.,,—,bitter
MD27,Нашёл в ящике список мечт двадцатилетнего. Прочитать?,42–55,Сцена,"Прочитал весь, до последнего пункта",Эн −18,Убрал обратно не разворачивая,—,Ностальгия!,И правильно!,Список своих двадцатилетних мечт однажды перечитали целиком.,"Список старых мечт убрали обратно, не читая.",,—,bitter
MD28,"Написать той самой — просто спросить, как дела?",42–55,Соблазн,Написал; ответили вежливо,"Отн −12, Эн +8",Не написал,—,Ох!,Мудро!,Той самой однажды написали и получили вежливый ответ.,Той самой так и не написали.,,—,risky
MD29,"Сходить на свою первую работу — посмотреть, что там теперь?",45–55,Кек,Там всё другое и никто не помнит,Эн −8,Не пошёл,—,Экскурсия!,Зачем?,Сходили на свою первую работу — там уже никто не помнил.,На старую работу возвращаться не стали.,ROND,—,bitter
MD30,Написать завещание в сорок пять?,45–55,Сцена,"Нотариус, час, странное чувство","Дн −25, Эн +8",Рано ещё,—,Практично!,Рано!,"Завещание написали задолго до того, как понадобилось.",Завещания не оставили.,BLOCK$,—,
MD31,"Признаться себе, что та мечта не сбудется?",45–55,Развилка,Сказал вслух — и стало легче дышать,"Эн +18, Здр +7",Продолжаешь верить,Эн −18,Взрослый!,Верим!,"Однажды признались себе, что не сбудется, и стало легче.",Верили в ту мечту до самого конца.,,—,bitter
MD32,Первый настоящий диагноз. Лечиться серьёзно?,45–55,Развилка,"Долго, дорого, помогает","Дн −80, Здр +30",Живёшь как жил,Здр −30,Правильно!,Ох.,Первый серьёзный диагноз лечили всерьёз и выиграли годы.,Первый серьёзный диагноз проигнорировали.,BLOCK$,—,
MD33,Отказаться от алкоголя совсем?,42–55,Развилка,"Трезвые вечера, скучные компании","Здр +15, Отн −5",Всё как всегда,Здр −15,Сила воли!,За здоровье!,"От алкоголя отказались совсем, и компании поредели.",От алкоголя не отказывались никогда.,,—,
MD34,Таблетки каждый день до конца жизни. Начать?,45–55,Развилка,"Каждое утро, всю жизнь, небольшие деньги",Здр +15,Обойдусь,Здр −15,Дисциплина!,Обойдусь!,Таблетки пили каждое утро до самого конца.,Таблетки принимать отказались.,,DRAIN:Дн=-0.05/s DUR:40y,
MD35,"Проверяться раз в год, даже когда ничего не болит?",42–55,Сцена,Час в год и спокойствие,"Дн −30, Здр +15","Когда заболит, тогда и пойду",—,Умница!,Заболит — пойду!,"Проверялись раз в год, даже когда ничего не болело.",К врачу ходили только когда прижмёт.,BLOCK$,—,warm
MD36,"Сменить работу ради здоровья, потеряв в деньгах?",45–55,Развилка,"Спокойнее, беднее, дольше","Здр +15, Эн +18",Держишься за место,Здр −7,Мудро!,Держимся!,Работу сменили ради здоровья и не пожалели.,"Работу не сменили, хотя врач советовал.",,MULT:Дн=x0.7,
